query,relevant_doc
What studies investigated Peripheral Neuropathy|Diabetes Mellitus|Diabetes Complications?,Peripheral Neuropathy|Diabetes Mellitus|Diabetes Complications
Which trial evaluated Thiamine?,Thiamine
What studies investigated Cardiovascular Disease|Hypertension|Diabetes|Obesity?,Cardiovascular Disease|Hypertension|Diabetes|Obesity
Which trial evaluated Lay Health Promoter (LHP) with maintenance?,Lay Health Promoter (LHP) with maintenance
"What studies investigated Anesthesia, Local|Intravitreal Injection|Macular Edema|Macular Degeneration|Diabetic Retinopathy|Diabetic Macular Edema?","Anesthesia, Local|Intravitreal Injection|Macular Edema|Macular Degeneration|Diabetic Retinopathy|Diabetic Macular Edema"
Which trial evaluated Recens Cooling Anesthesia Device?,Recens Cooling Anesthesia Device
What studies investigated Type 2 Diabetes|Diabetic Peripheral Neuropathy|Exercise?,Type 2 Diabetes|Diabetic Peripheral Neuropathy|Exercise
Which trial evaluated exercise with whole body vibration device?,exercise with whole body vibration device
What studies investigated Type 2 Diabetes Mellitus?,Type 2 Diabetes Mellitus
What studies investigated Type 1 Diabetes?,Type 1 Diabetes
Which trial evaluated Garmin physical activity tracker?,Garmin physical activity tracker
"What studies investigated Diabetes Mellitus, Type 2?","Diabetes Mellitus, Type 2"
Which trial evaluated Commuting with electrically assisted bicycles?,Commuting with electrically assisted bicycles
What studies investigated Hypertension|Type 2 Diabetes Mellitus|Microalbuminuria?,Hypertension|Type 2 Diabetes Mellitus|Microalbuminuria
Which trial evaluated Ramipril?,Ramipril
What studies investigated Diabetes?,Diabetes
Which trial evaluated Insulin Glargine (Lantus®)?,Insulin Glargine (Lantus®)
What studies investigated Diabetic Retinopathy?,Diabetic Retinopathy
Which trial evaluated Free screening group?,Free screening group
What studies investigated Diabetes|Pre-diabetes|Obesity?,Diabetes|Pre-diabetes|Obesity
Which trial evaluated Metformin?,Metformin
"What studies investigated Foot Ulcer, Diabetic|Patient Engagement|Self Efficacy|Wound Healing|Nursing?","Foot Ulcer, Diabetic|Patient Engagement|Self Efficacy|Wound Healing|Nursing"
Which trial evaluated The intervention group received training based on Social Cognitive Learning Theory.?,The intervention group received training based on Social Cognitive Learning Theory.
What studies investigated Type2 Diabetes Mellitus|Metabolic Syndrome?,Type2 Diabetes Mellitus|Metabolic Syndrome
Which trial evaluated DIETARY_SUPPLEMENT: Glucola?,DIETARY_SUPPLEMENT: Glucola
"What studies investigated Diabetes Mellitus, Type 1|Arrhythmia?","Diabetes Mellitus, Type 1|Arrhythmia"
